"id" "time" "obs" "ytype"
1 0 6.03800553189165 1
1 2 8.37659559298902 1
1 4 10.0481896037861 1
1 6 13.6320967415109 1
1 8 12.3571004513957 1
1 10 12.6961144876425 1
1 12 13.4076584373475 1
1 14 9.72242311884085 1
1 16 12.9006431543744 1
1 18 12.764050093183 1
1 20 8.76972279004496 1
1 22 7.33517480970241 1
1 24 7.58587570692176 1
1 26 11.1720984353361 1
1 28 4.07448010914104 1
1 30 6.02454132435897 1
2 0 3.29150410104441 1
2 2 3.39047334260896 1
2 4 3.0907096129791 1
2 6 1.33822205474807 1
2 8 3.03009952613997 1
2 10 2.25548038302405 1
3 0 7.21165531067775 1
3 2 11.2024770020636 1
3 4 9.48098660323614 1
3 6 8.16786811948128 1
3 8 14.4952950932176 1
3 10 9.59110536488119 1
3 12 7.15945355640863 1
3 14 8.0961525126443 1
3 16 10.5394828659088 1
3 18 7.12549579459069 1
4 0 2.63401405805855 1
5 0 6.64156128987471 1
5 2 5.23169847559889 1
5 4 6.14601728184133 1
5 6 5.75495958791379 1
5 8 5.81423581228433 1
5 10 7.58906512165336 1
5 12 7.58551848743446 1
5 14 5.0113120962497 1
5 16 7.04632780389041 1
5 18 6.40663842555416 1
5 20 5.84197242178899 1
5 22 6.67185486876745 1
5 24 8.70769773045888 1
5 26 5.87687422749496 1
5 28 7.11143732057541 1
5 30 1.87359482857376 1
6 0 3.50427440650451 1
6 2 5.86379153590889 1
6 4 11.71196883233 1
6 6 7.36027260614322 1
6 8 7.61803884834511 1
7 0 7.67286296807612 1
7 2 5.34813762224174 1
7 4 9.36763167661035 1
7 6 10.5562429735093 1
7 8 7.95361968165714 1
7 10 15.716579166396 1
7 12 10.7074250076937 1
7 14 9.00907793892841 1
7 16 6.95136297825643 1
7 18 9.42424964831404 1
7 20 13.3845334629247 1
7 22 20.1045096351728 1
7 24 22.8680482721707 1
7 26 22.91422986471 1
7 28 15.7895039684584 1
7 30 14.736519835175 1
8 0 2.02649547671528 1
8 2 2.51137157999535 1
8 4 6.60721972916984 1
9 0 4.57209916164838 1
9 2 3.44931092568559 1
9 4 4.76300867396578 1
9 6 3.21092769673615 1
9 8 3.68905742674548 1
9 10 3.9218171366215 1
9 12 4.36788457715525 1
9 14 5.27031196275983 1
10 0 1.74884562504381 1
10 2 2.92452650574238 1
10 4 3.7520129410157 1
10 6 2.86501547168264 1
10 8 4.51379006624096 1
10 10 1.8301840785881 1
10 12 3.41786966916851 1
10 14 3.25252642959749 1
10 16 1.92383922716586 1
10 18 2.90961668886914 1
10 20 3.59230338163225 1
10 22 2.87428325228321 1
10 24 3.43945832067345 1
11 0 3.55493973479197 1
11 2 7.73078079660689 1
11 4 7.44303297508576 1
11 6 7.35119916175614 1
12 0 1.43527603237783 1
12 2 3.5697528509114 1
12 4 2.05430464798507 1
12 6 4.76602570646765 1
12 8 2.7330900544679 1
12 10 3.98219342797744 1
13 0 5.71925037673671 1
13 2 4.01510359428163 1
13 4 9.3825629338232 1
13 6 5.05261528420898 1
13 8 5.95630760361433 1
14 0 1.76424800705036 1
15 0 2.0319439933928 1
15 2 3.15481005065836 1
